field_id,common_name,species_name,family,order,common_group,sp_code,,master_trawl,notes,Common group sorting order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white perch,"perch, white ",Morone americana,Moronidae,Perciformes,Pisces,Mor ame,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
striped mullet,"mullet, striped",Mugil cephalus,Mugilidae,Mugiliformes,Pisces,Mug cep,,X,aka: jumping mullet,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white mullet,"mullet, white ",Mugil curema,Mugilidae,Mugiliformes,Pisces,Mug cur,,X,added to trawl datasheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mullet,mullet spp.,Mugil spp.,Mugilidae,Mugiliformes,Pisces,Mug spp,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goatfish,"goatfish, spotted ",Pseudupeneus maculatus,Mullidae,Perciformes,Pisces,Pse mac,,X,added to trawl datasheet from frag per se data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eel,eel spp.,Bascanichthys spp.,Ophichthidae,Anguilliformes,Pisces,Bas spp,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cusk eel,"eel, cusk",,Ophidiidae,Ophidiiformes,Pisces,Ophidiidae,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scrawled cowfish,"cowfish, scrawled",Acanthostracion quadricornis,Ostraciidae,Tetradontiformes,Pisces,Aca qua,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oceallated flounder,"flounder, oceallated ",Ancylopsetta ommata,Paralichthyidae,Pleuronectiformes,Pisces,Anc omm,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bay whiff,"whiff, bay",Citharichthys spilopterus,Paralichthyidae,Pleuronectiformes,Pisces,Cit spi,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whiff,whiff spp.,Citharichthys spp.,Paralichthyidae,Pleuronectiformes,Pisces,Cit spp,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fringed flounder,"flounder, fringed  ",Etropus crossotus,Paralichthyidae,Pleuronectiformes,Pisces,Etr cro,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small mouth flounder,"flounder, small mouth",Etropus microstonus,Paralichthyidae,Pleuronectiformes,Pisces,Etr mic,,X,added to trawl datasheet and species list from frag per se data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gulf flounder,"flounder, gulf",Paralichthys albigutta,Paralichthyidae,Pleuronectiformes,Pisces,Par alb,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summer flounder,"flounder, summer",Paralichthys dentatus,Paralichthyidae,Pleuronectiformes,Pisces,Par den,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southern flounder,"flounder, southern",Paralichthys lethostigma,Paralichthyidae,Pleuronectiformes,Pisces,Par let,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fourspot flounder,"flounder, fourspot",Paralichthys oblongus,Paralichthyidae,Pleuronectiformes,Pisces,Par obl,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paralichthys,flounder spp.,Paralichthys spp.,Paralichthyidae,Pleuronectiformes,Pisces,Par spp,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flounder,flounder spp.,,Paralichthyidae,Pleuronectiformes,Pisces,Paralichthyidae,,,specifically for un-ID flounder that are definitively not paralichthys,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow perch,"perch, yellow ",Perca flavescens,Percidae,Perciformes,Pisces,Per fla,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perch,"perch, unid spp.",,Percidae,Perciformes,Pisces,Percidae,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosquito fish,mosquito fish,Gambusia affinis,Poeciliidae,Cyprinodontiformes,Pisces,Gam aff,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eastern mosquito,"mosquitofish, eastern",Gambusia holbrooki,Poeciliidae,Cyprinodontiformes,Pisces,Gam hol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gambusia,gambusia,Gambusia spp.,Poeciliidae,Cyprinodontiformes,Pisces,Gamb spp,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sailfin molly,sailfin molly,Poecilia latipinna,Poeciliidae,Cyprinodontiformes,Pisces,Poe lat,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atlantic threadfin,"threadfin, atlantic",Polydactylus octonemus,Polynemidae,Perciformes,Pisces,Pol oct,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threadfin,threadfin spp.,polydactylus spp.,Polynemidae,Perciformes,Pisces,Pol spp,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sergeant major,sergeant major,Abudefduf saxatilis,Pomacentrinae,Perciformes,Pisces,Abu sax,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
